,ticker,prev_close,prediction,actual_closing,percent_error,delta_mu
0,BBD,3.5299999713897705,3.6099998812584624,3.5399999618530273,1.9773988745692894,0.009999990463256836
1,RLX,4.269999980926514,4.867136175943194,4.164999961853027,16.85801249750271,-0.10500001907348633
2,NAT,2.289999961853028,2.3499998638412247,2.2750000953674316,3.2966929815306223,-0.014999866485596147
3,TEF,4.360000133514403,4.360000198339243,4.425000190734863,1.4689263185054362,0.06500005722045987
4,IVC,4.400000095367432,4.369999951939406,4.610000133514404,5.206077540653677,0.21000003814697266
5,HIPO,4.199999809265137,4.260000157954819,4.019999980926514,5.970153685746805,-0.17999982833862305
6,AMPY,3.4500000476837163,3.6598583231976836,3.359999895095825,8.924358257853653,-0.09000015258789107
7,CBD,4.179999828338623,4.424238239875097,4.300000190734863,2.889256828591005,0.12000036239624023
8,CEPU,3.920000076293945,3.8407505281468746,3.950000047683716,2.765810587797468,0.029999971389770952
9,STON,2.7300000190734863,2.7115430413839294,2.7799999713897705,2.462479521955472,0.04999995231628418
10,VATE,4.6599998474121085,4.300000163024125,4.670000076293945,7.922910218953316,0.010000228881836826
